"","self.time","self.pct","total.time","total.pct"
"""<GC>""",0.15,10.87,0.15,10.87
"""findCenvVar""",0.14,10.14,0.22,15.94
""".pool_active_members""",0.11,7.97,0.14,10.14
"""exists""",0.06,4.35,0.06,4.35
"""FUN""",0.05,3.62,0.66,47.83
""".pool_survival_fast_value""",0.05,3.62,0.31,22.46
"""dist_registry""",0.05,3.62,0.07,5.07
"""putconst""",0.05,3.62,0.06,4.35
"""stopifnot""",0.05,3.62,0.05,3.62
"""%in%""",0.04,2.9,0.04,2.9
"""vapply""",0.03,2.17,0.6,43.48
"""cmp""",0.03,2.17,0.59,42.75
""".acc_survival""",0.03,2.17,0.09,6.52
"""%||%""",0.03,2.17,0.03,2.17
"""$""",0.03,2.17,0.03,2.17
"""getInlineInfo""",0.02,1.45,0.18,13.04
"""cb$putcode""",0.02,1.45,0.08,5.8
"""cb$putconst""",0.02,1.45,0.07,5.07
"""lapply""",0.02,1.45,0.06,4.35
"""exgauss_cdf""",0.02,1.45,0.03,2.17
"""reg[[""d""]]""",0.02,1.45,0.03,2.17
""".prep_runtime_get""",0.02,1.45,0.02,1.45
"""get""",0.02,1.45,0.02,1.45
"""grep""",0.02,1.45,0.02,1.45
"""match.fun""",0.02,1.45,0.02,1.45
"""cmpCall""",0.01,0.72,0.59,42.75
"""h""",0.01,0.72,0.59,42.75
""".pool_density_fast_value""",0.01,0.72,0.17,12.32
""".acc_density""",0.01,0.72,0.09,6.52
"""constantFold""",0.01,0.72,0.05,3.62
"""[[.data.frame""",0.01,0.72,0.04,2.9
"""constantFoldCall""",0.01,0.72,0.04,2.9
"""checkSkipLoopCntxt""",0.01,0.72,0.02,1.45
"""mayCallBrowser""",0.01,0.72,0.02,1.45
""".eval_state_get_extra""",0.01,0.72,0.01,0.72
""".eval_state_register_insert""",0.01,0.72,0.01,0.72
"""[[""",0.01,0.72,0.01,0.72
"""anyNA""",0.01,0.72,0.01,0.72
"""as.list.default""",0.01,0.72,0.01,0.72
"""as.list""",0.01,0.72,0.01,0.72
"""assign""",0.01,0.72,0.01,0.72
"""cb$savecurloc""",0.01,0.72,0.01,0.72
"""class""",0.01,0.72,0.01,0.72
"""dlnorm""",0.01,0.72,0.01,0.72
"""length""",0.01,0.72,0.01,0.72
"""make.codeBuf""",0.01,0.72,0.01,0.72
"""make.nonTailCallContext""",0.01,0.72,0.01,0.72
"""new.env""",0.01,0.72,0.01,0.72
"""numeric""",0.01,0.72,0.01,0.72
"""packFrameName""",0.01,0.72,0.01,0.72
"""paste0""",0.01,0.72,0.01,0.72
"""pnorm""",0.01,0.72,0.01,0.72
"""sys.call""",0.01,0.72,0.01,0.72
