"","self.time","self.pct","total.time","total.pct"
"""[.data.frame""",0.05,9.26,0.16,29.63
"""%||%""",0.05,9.26,0.05,9.26
""".build_trial_overrides""",0.04,7.41,0.22,40.74
"""[[.data.frame""",0.03,5.56,0.08,14.81
"""%in%""",0.03,5.56,0.03,5.56
"""<GC>""",0.03,5.56,0.03,5.56
""".likelihood_component_override_bundle""",0.02,3.7,0.26,48.15
"""plnorm""",0.02,3.7,0.02,3.7
"""stopifnot""",0.02,3.7,0.02,3.7
"""sys.call""",0.02,3.7,0.02,3.7
""".likelihood_mixture_likelihood""",0.01,1.85,0.4,74.07
""".outcome_likelihood""",0.01,1.85,0.12,22.22
"""FUN""",0.01,1.85,0.07,12.96
"""h""",0.01,1.85,0.05,9.26
"""tryInline""",0.01,1.85,0.05,9.26
"""vapply""",0.01,1.85,0.05,9.26
"""isBaseVar""",0.01,1.85,0.02,3.7
"""setdiff""",0.01,1.85,0.02,3.7
""".eval_state_get_extra""",0.01,1.85,0.01,1.85
""".eval_state_max_entries""",0.01,1.85,0.01,1.85
""".resolve_accumulator_id""",0.01,1.85,0.01,1.85
"""[[""",0.01,1.85,0.01,1.85
"""all.equal""",0.01,1.85,0.01,1.85
"""anyDuplicated""",0.01,1.85,0.01,1.85
"""as.list""",0.01,1.85,0.01,1.85
"""character""",0.01,1.85,0.01,1.85
"""dim""",0.01,1.85,0.01,1.85
"""exists""",0.01,1.85,0.01,1.85
"""is.na""",0.01,1.85,0.01,1.85
"""mode""",0.01,1.85,0.01,1.85
"""putconst""",0.01,1.85,0.01,1.85
"""tryCatch""",0.01,1.85,0.01,1.85
"""unique.default""",0.01,1.85,0.01,1.85
