"","total.time","total.pct","self.time","self.pct"
"""profvis""",0.74,100,0,0
"""log_likelihood_from_params""",0.63,85.14,0.01,1.35
"""__profvis_execute__""",0.63,85.14,0,0
""".likelihood_mixture_likelihood""",0.49,66.22,0,0
""".likelihood_component_override_bundle""",0.32,43.24,0,0
""".build_trial_overrides""",0.28,37.84,0.04,5.41
"""[.data.frame""",0.21,28.38,0.08,10.81
""".outcome_likelihood""",0.15,20.27,0,0
""".scenario_density_with_competitors""",0.13,17.57,0,0
"""[[.data.frame""",0.12,16.22,0.05,6.76
"""cmp""",0.12,16.22,0,0
"""cmpCall""",0.12,16.22,0,0
"""genCode""",0.12,16.22,0,0
"""h""",0.12,16.22,0,0
"""tryInline""",0.12,16.22,0,0
"""FUN""",0.11,14.86,0.01,1.35
""".compute_survival_product_legacy""",0.11,14.86,0,0
""".compute_survival_product""",0.11,14.86,0,0
"""vapply""",0.11,14.86,0,0
"""<GC>""",0.09,12.16,0.09,12.16
""".eval_expr_survival_cond""",0.07,9.46,0.01,1.35
""".build_compiled_node""",0.07,9.46,0,0
""".compile_once""",0.07,9.46,0,0
""".precompile_likelihood_expressions""",0.07,9.46,0,0
""".prepare_model_for_likelihood""",0.07,9.46,0,0
"""all.equal.numeric""",0.07,9.46,0,0
"""compile_expr""",0.07,9.46,0,0
"""compiler::cmpfun""",0.07,9.46,0,0
"""cmpfun""",0.06,8.11,0,0
"""compiler:::tryCmpfun""",0.06,8.11,0,0
"""stopifnot""",0.05,6.76,0.05,6.76
"""findCenvVar""",0.05,6.76,0.04,5.41
"""cmpCallArgs""",0.05,6.76,0.03,4.05
""".node_survival_cond""",0.05,6.76,0,0
"""cmpCallSymFun""",0.05,6.76,0,0
"""getInlineInfo""",0.05,6.76,0,0
"""names""",0.03,4.05,0.03,4.05
""".integrand_outcome_density""",0.03,4.05,0,0
""".integrate_outcome_probability""",0.03,4.05,0,0
""".pool_survival_fast_value""",0.03,4.05,0,0
"""<Anonymous>""",0.03,4.05,0,0
"""f""",0.03,4.05,0,0
"""node$surv_fast_fn""",0.03,4.05,0,0
"""stats::integrate""",0.03,4.05,0,0
""".pool_active_members""",0.02,2.7,0.02,2.7
"""%||%""",0.02,2.7,0.02,2.7
"""%in%""",0.02,2.7,0.02,2.7
"""paste""",0.02,2.7,0.02,2.7
""".acc_survival""",0.02,2.7,0.01,1.35
""".eval_state_key""",0.02,2.7,0.01,1.35
""".eval_state_time_key""",0.02,2.7,0.01,1.35
""".set_ops_need_as_vector""",0.02,2.7,0.01,1.35
"""base::intersect""",0.02,2.7,0.01,1.35
""".cluster_competitors""",0.02,2.7,0,0
""".eval_state_entry""",0.02,2.7,0,0
""".pool_density_fast_value""",0.02,2.7,0,0
"""compiled$density_fast_fn""",0.02,2.7,0,0
"""intersect.default""",0.02,2.7,0,0
""".subset2""",0.01,1.35,0.01,1.35
"""[""",0.01,1.35,0.01,1.35
"""[[""",0.01,1.35,0.01,1.35
"""==""",0.01,1.35,0.01,1.35
"""attr.all.equal""",0.01,1.35,0.01,1.35
"""body""",0.01,1.35,0.01,1.35
"""cb$patchlabels""",0.01,1.35,0.01,1.35
"""cb$putlabel""",0.01,1.35,0.01,1.35
"""constantFoldCall""",0.01,1.35,0.01,1.35
"""data.class""",0.01,1.35,0.01,1.35
"""doTryCatch""",0.01,1.35,0.01,1.35
"""exists""",0.01,1.35,0.01,1.35
"""is.numeric""",0.01,1.35,0.01,1.35
"""length""",0.01,1.35,0.01,1.35
"""reg[[""p""]]""",0.01,1.35,0.01,1.35
"""sys.call""",0.01,1.35,0.01,1.35
"""unique.default""",0.01,1.35,0.01,1.35
""".coerce_forced_ids""",0.01,1.35,0,0
""".coerce_param_list""",0.01,1.35,0,0
""".likelihood_outcome_cache_key""",0.01,1.35,0,0
""".node_eval_entry""",0.01,1.35,0,0
""".resolve_accumulator_id""",0.01,1.35,0,0
"""base::setdiff""",0.01,1.35,0,0
"""cmpComplexAssign""",0.01,1.35,0,0
"""cmpConstArg""",0.01,1.35,0,0
"""cmpForBody""",0.01,1.35,0,0
"""cmpIndices""",0.01,1.35,0,0
"""cmpPrim1""",0.01,1.35,0,0
"""cmpSetterCall""",0.01,1.35,0,0
"""cmpSubassignDispatch""",0.01,1.35,0,0
"""cmpSymbolAssign""",0.01,1.35,0,0
"""codeBufCode""",0.01,1.35,0,0
"""constantFold""",0.01,1.35,0,0
"""setdiff.default""",0.01,1.35,0,0
"""tryCatch""",0.01,1.35,0,0
"""tryCatchList""",0.01,1.35,0,0
"""tryCatchOne""",0.01,1.35,0,0
"""trySetterInline""",0.01,1.35,0,0
