"","total.time","total.pct","self.time","self.pct"
"""profvis""",1.38,100,0,0
"""__profvis_execute__""",0.74,53.62,0,0
"""compute_loglik""",0.74,53.62,0,0
"""FUN""",0.66,47.83,0.05,3.62
""".outcome_likelihood""",0.66,47.83,0,0
""".scenario_density_with_competitors""",0.65,47.1,0,0
""".compute_survival_product_legacy""",0.64,46.38,0,0
""".compute_survival_product""",0.64,46.38,0,0
"""cmpfun""",0.61,44.2,0,0
"""compiler:::tryCmpfun""",0.61,44.2,0,0
"""vapply""",0.6,43.48,0.03,2.17
"""cmp""",0.59,42.75,0.03,2.17
"""cmpCall""",0.59,42.75,0.01,0.72
"""h""",0.59,42.75,0.01,0.72
""".eval_expr_survival_cond""",0.59,42.75,0,0
"""genCode""",0.59,42.75,0,0
"""tryInline""",0.59,42.75,0,0
""".node_survival_cond""",0.58,42.03,0,0
"""<Anonymous>""",0.58,42.03,0,0
"""cdf_fast""",0.58,42.03,0,0
"""density_fast""",0.58,42.03,0,0
"""f""",0.58,42.03,0,0
"""node$surv_fast_fn""",0.58,42.03,0,0
"""stats::integrate""",0.58,42.03,0,0
"""block_surv_fast""",0.37,26.81,0,0
""".pool_survival_fast_value""",0.31,22.46,0.05,3.62
"""cmpSymbolAssign""",0.25,18.12,0,0
"""findCenvVar""",0.22,15.94,0.14,10.14
"""getInlineInfo""",0.18,13.04,0.02,1.45
"""ref_density_fast""",0.18,13.04,0,0
""".pool_density_fast_value""",0.17,12.32,0.01,0.72
"""<GC>""",0.15,10.87,0.15,10.87
""".pool_active_members""",0.14,10.14,0.11,7.97
"""cmpForBody""",0.13,9.42,0,0
"""cmpCallArgs""",0.1,7.25,0,0
"""cmpCallSymFun""",0.1,7.25,0,0
""".acc_survival""",0.09,6.52,0.03,2.17
""".acc_density""",0.09,6.52,0.01,0.72
"""cmpSym""",0.09,6.52,0,0
"""cb$putcode""",0.08,5.8,0.02,1.45
"""dist_registry""",0.07,5.07,0.05,3.62
"""cb$putconst""",0.07,5.07,0.02,1.45
"""exists""",0.06,4.35,0.06,4.35
"""putconst""",0.06,4.35,0.05,3.62
"""lapply""",0.06,4.35,0.02,1.45
"""cmpPrim1""",0.06,4.35,0,0
"""stopifnot""",0.05,3.62,0.05,3.62
"""constantFold""",0.05,3.62,0.01,0.72
"""cmpComplexAssign""",0.05,3.62,0,0
"""cmpSetterCall""",0.05,3.62,0,0
"""findVar""",0.05,3.62,0,0
"""pool_coeffs""",0.05,3.62,0,0
"""trySetterInline""",0.05,3.62,0,0
"""%in%""",0.04,2.9,0.04,2.9
"""[[.data.frame""",0.04,2.9,0.01,0.72
"""constantFoldCall""",0.04,2.9,0.01,0.72
"""cmpBuiltinArgs""",0.04,2.9,0,0
"""cmpIndices""",0.04,2.9,0,0
"""cmpSubassignDispatch""",0.04,2.9,0,0
"""findLocalsList""",0.04,2.9,0,0
"""findLocalsList1""",0.04,2.9,0,0
"""funEnv""",0.04,2.9,0,0
"""isBaseVar""",0.04,2.9,0,0
"""make.functionContext""",0.04,2.9,0,0
"""%||%""",0.03,2.17,0.03,2.17
"""$""",0.03,2.17,0.03,2.17
"""exgauss_cdf""",0.03,2.17,0.02,1.45
"""reg[[""d""]]""",0.03,2.17,0.02,1.45
""".build_compiled_node""",0.03,2.17,0,0
""".compile_once""",0.03,2.17,0,0
""".precompile_likelihood_expressions""",0.03,2.17,0,0
""".prepare_model_for_likelihood""",0.03,2.17,0,0
"""compile_expr""",0.03,2.17,0,0
"""compiler::cmpfun""",0.03,2.17,0,0
"""findFunDef""",0.03,2.17,0,0
"""getFoldFun""",0.03,2.17,0,0
"""reg[[""p""]]""",0.03,2.17,0,0
""".prep_runtime_get""",0.02,1.45,0.02,1.45
"""get""",0.02,1.45,0.02,1.45
"""grep""",0.02,1.45,0.02,1.45
"""match.fun""",0.02,1.45,0.02,1.45
"""checkSkipLoopCntxt""",0.02,1.45,0.01,0.72
"""mayCallBrowser""",0.02,1.45,0.01,0.72
""".eval_state_set_extra""",0.02,1.45,0,0
"""checkSkipLoopCntxtList""",0.02,1.45,0,0
"""cmpIs""",0.02,1.45,0,0
"""cmpPrim2""",0.02,1.45,0,0
"""is.ddsym""",0.02,1.45,0,0
"""mayCallBrowserList""",0.02,1.45,0,0
""".eval_state_get_extra""",0.01,0.72,0.01,0.72
""".eval_state_register_insert""",0.01,0.72,0.01,0.72
"""[[""",0.01,0.72,0.01,0.72
"""anyNA""",0.01,0.72,0.01,0.72
"""as.list.default""",0.01,0.72,0.01,0.72
"""as.list""",0.01,0.72,0.01,0.72
"""assign""",0.01,0.72,0.01,0.72
"""cb$savecurloc""",0.01,0.72,0.01,0.72
"""class""",0.01,0.72,0.01,0.72
"""dlnorm""",0.01,0.72,0.01,0.72
"""length""",0.01,0.72,0.01,0.72
"""make.codeBuf""",0.01,0.72,0.01,0.72
"""make.nonTailCallContext""",0.01,0.72,0.01,0.72
"""new.env""",0.01,0.72,0.01,0.72
"""numeric""",0.01,0.72,0.01,0.72
"""packFrameName""",0.01,0.72,0.01,0.72
"""paste0""",0.01,0.72,0.01,0.72
"""pnorm""",0.01,0.72,0.01,0.72
"""sys.call""",0.01,0.72,0.01,0.72
""".cluster_competitors""",0.01,0.72,0,0
""".eval_state_time_key""",0.01,0.72,0,0
""".event_cdf_at""",0.01,0.72,0,0
""".event_survival_at""",0.01,0.72,0,0
""".expr_lookup_compiled""",0.01,0.72,0,0
""".pool_survival""",0.01,0.72,0,0
""".prep_competitors""",0.01,0.72,0,0
""".prep_expr_compiled""",0.01,0.72,0,0
"""addVar""",0.01,0.72,0,0
"""child_cdf[[j]]""",0.01,0.72,0,0
"""cmpConstArg""",0.01,0.72,0,0
"""cmpSubsetDispatch""",0.01,0.72,0,0
"""cmpTag""",0.01,0.72,0,0
"""density_fn""",0.01,0.72,0,0
"""findLocals1""",0.01,0.72,0,0
"""findLocVar""",0.01,0.72,0,0
"""gather_labels""",0.01,0.72,0,0
"""getInlineHandler""",0.01,0.72,0,0
