"","self.time","self.pct","total.time","total.pct"
"""<GC>""",0.91,36.25,0.91,36.25
""".pool_survival""",0.23,9.16,0.84,33.47
""".pool_density""",0.13,5.18,0.69,27.49
"""dist_registry""",0.1,3.98,0.31,12.35
""".pool_k1_density""",0.09,3.59,0.46,18.33
""".acc_survival""",0.07,2.79,0.36,14.34
"""stopifnot""",0.07,2.79,0.12,4.78
"""plnorm""",0.07,2.79,0.07,2.79
"""findCenvVar""",0.06,2.39,0.13,5.18
"""pool_coeffs""",0.05,1.99,0.17,6.77
"""numeric""",0.05,1.99,0.05,1.99
"""reg[[""p""]]""",0.04,1.59,0.11,4.38
"""reg[[""d""]]""",0.04,1.59,0.06,2.39
"""get""",0.04,1.59,0.04,1.59
"""compute_loglik""",0.03,1.2,1.85,73.71
""".acc_density""",0.03,1.2,0.27,10.76
"""%in%""",0.03,1.2,0.03,1.2
"""exists""",0.03,1.2,0.03,1.2
"""FUN""",0.02,0.8,1.51,60.16
"""cmp""",0.02,0.8,0.35,13.94
"""constantFoldCall""",0.02,0.8,0.05,1.99
"""cb$putcode""",0.02,0.8,0.03,1.2
"""!""",0.02,0.8,0.02,0.8
"""$""",0.02,0.8,0.02,0.8
"""character""",0.02,0.8,0.02,0.8
"""dlnorm""",0.02,0.8,0.02,0.8
"""sum""",0.02,0.8,0.02,0.8
"""eval_row_likelihood""",0.01,0.4,1.8,71.71
"""stats::integrate""",0.01,0.4,1.52,60.56
"""vapply""",0.01,0.4,1.51,60.16
"""Sfun""",0.01,0.4,0.94,37.45
"""cmpCall""",0.01,0.4,0.35,13.94
"""tryInline""",0.01,0.4,0.35,13.94
"""getInlineInfo""",0.01,0.4,0.16,6.37
"""...elt""",0.01,0.4,0.06,2.39
"""length""",0.01,0.4,0.06,2.39
"""fC""",0.01,0.4,0.02,0.8
"""format.default""",0.01,0.4,0.02,0.8
"""mayCallBrowser""",0.01,0.4,0.02,0.8
""".collect_guards""",0.01,0.4,0.01,0.4
""".detect_shared_gate""",0.01,0.4,0.01,0.4
"""as.environment""",0.01,0.4,0.01,0.4
"""as.list""",0.01,0.4,0.01,0.4
"""cb$putconst""",0.01,0.4,0.01,0.4
"""cb$savecurloc""",0.01,0.4,0.01,0.4
"""format""",0.01,0.4,0.01,0.4
"""grep""",0.01,0.4,0.01,0.4
"""isTRUE""",0.01,0.4,0.01,0.4
"""make.argContext""",0.01,0.4,0.01,0.4
"""match.arg""",0.01,0.4,0.01,0.4
"""match.fun""",0.01,0.4,0.01,0.4
"""prefix_sum""",0.01,0.4,0.01,0.4
"""putconst""",0.01,0.4,0.01,0.4
