"","self.time","self.pct","total.time","total.pct"
"""cb$putcode""",0.05,10,0.05,10
"""findCenvVar""",0.04,8,0.05,10
"""%in%""",0.03,6,0.03,6
"""FUN""",0.02,4,0.13,26
"""getInlineInfo""",0.02,4,0.07,14
"""lapply""",0.02,4,0.07,14
""".eval_state_set_extra""",0.02,4,0.03,6
"""$<-""",0.02,4,0.02,4
""".eval_state_touch_key""",0.02,4,0.02,4
"""as.list""",0.02,4,0.02,4
"""c""",0.02,4,0.02,4
"""tryInline""",0.01,2,0.24,48
""".outcome_likelihood""",0.01,2,0.14,28
""".compute_survival_product""",0.01,2,0.12,24
"""constantFold""",0.01,2,0.06,12
""".node_survival_cond""",0.01,2,0.05,10
"""isBaseVar""",0.01,2,0.04,8
"""cmpSubsetDispatch""",0.01,2,0.03,6
"""findLocals1""",0.01,2,0.02,4
"""make.argContext""",0.01,2,0.02,4
"""node$surv_fast_fn""",0.01,2,0.02,4
"""$""",0.01,2,0.01,2
""".eval_state_get_extra""",0.01,2,0.01,2
""".eval_state_key""",0.01,2,0.01,2
""".labels_to_ids""",0.01,2,0.01,2
""".prep_runtime_get""",0.01,2,0.01,2
"""cb$patchlabels""",0.01,2,0.01,2
"""cb$putconst""",0.01,2,0.01,2
"""character""",0.01,2,0.01,2
"""exists""",0.01,2,0.01,2
"""is.na""",0.01,2,0.01,2
"""length""",0.01,2,0.01,2
"""pool_coeffs""",0.01,2,0.01,2
