"","total.time","total.pct","self.time","self.pct"
"""profvis""",0.5,100,0,0
"""cmpfun""",0.3,60,0,0
"""compiler:::tryCmpfun""",0.3,60,0,0
"""tryInline""",0.24,48,0.01,2
"""cmp""",0.24,48,0,0
"""cmpCall""",0.24,48,0,0
"""genCode""",0.24,48,0,0
"""h""",0.24,48,0,0
"""__profvis_execute__""",0.16,32,0,0
"""compute_loglik""",0.16,32,0,0
"""cmpSymbolAssign""",0.15,30,0,0
""".outcome_likelihood""",0.14,28,0.01,2
"""FUN""",0.13,26,0.02,4
""".compute_survival_product""",0.12,24,0.01,2
""".scenario_density_with_competitors""",0.12,24,0,0
""".compute_survival_product_legacy""",0.11,22,0,0
"""cmpCallSymFun""",0.09,18,0,0
"""cmpCallArgs""",0.08,16,0,0
"""getInlineInfo""",0.07,14,0.02,4
"""lapply""",0.07,14,0.02,4
"""funEnv""",0.07,14,0,0
"""make.functionContext""",0.07,14,0,0
"""vapply""",0.07,14,0,0
"""constantFold""",0.06,12,0.01,2
"""findLocalsList""",0.06,12,0,0
"""findLocalsList1""",0.06,12,0,0
"""cb$putcode""",0.05,10,0.05,10
"""findCenvVar""",0.05,10,0.04,8
""".node_survival_cond""",0.05,10,0.01,2
""".eval_expr_survival_cond""",0.05,10,0,0
"""isBaseVar""",0.04,8,0.01,2
"""cmpForBody""",0.04,8,0,0
"""constantFoldCall""",0.04,8,0,0
"""%in%""",0.03,6,0.03,6
""".eval_state_set_extra""",0.03,6,0.02,4
"""cmpSubsetDispatch""",0.03,6,0.01,2
""".integrand_outcome_density""",0.03,6,0,0
""".integrate_outcome_probability""",0.03,6,0,0
"""<Anonymous>""",0.03,6,0,0
"""f""",0.03,6,0,0
"""getFoldFun""",0.03,6,0,0
"""stats::integrate""",0.03,6,0,0
"""$<-""",0.02,4,0.02,4
""".eval_state_touch_key""",0.02,4,0.02,4
"""as.list""",0.02,4,0.02,4
"""c""",0.02,4,0.02,4
"""findLocals1""",0.02,4,0.01,2
"""make.argContext""",0.02,4,0.01,2
"""node$surv_fast_fn""",0.02,4,0.01,2
""".build_compiled_node""",0.02,4,0,0
""".compile_once""",0.02,4,0,0
""".eval_state_entry""",0.02,4,0,0
""".node_eval_entry""",0.02,4,0,0
""".precompile_likelihood_expressions""",0.02,4,0,0
""".prepare_model_for_likelihood""",0.02,4,0,0
"""cmpBuiltinArgs""",0.02,4,0,0
"""cmpPrim2""",0.02,4,0,0
"""compile_expr""",0.02,4,0,0
"""compiler::cmpfun""",0.02,4,0,0
"""mayCallBrowser""",0.02,4,0,0
"""mayCallBrowserList""",0.02,4,0,0
"""$""",0.01,2,0.01,2
""".eval_state_get_extra""",0.01,2,0.01,2
""".eval_state_key""",0.01,2,0.01,2
""".labels_to_ids""",0.01,2,0.01,2
""".prep_runtime_get""",0.01,2,0.01,2
"""cb$patchlabels""",0.01,2,0.01,2
"""cb$putconst""",0.01,2,0.01,2
"""character""",0.01,2,0.01,2
"""exists""",0.01,2,0.01,2
"""is.na""",0.01,2,0.01,2
"""length""",0.01,2,0.01,2
"""pool_coeffs""",0.01,2,0.01,2
""".cluster_competitors""",0.01,2,0,0
""".eval_state_register_insert""",0.01,2,0,0
""".eval_state_time_key""",0.01,2,0,0
""".pool_survival_fast_value""",0.01,2,0,0
""".prep_competitors""",0.01,2,0,0
""".set_ops_need_as_vector""",0.01,2,0,0
"""addCenvFrame""",0.01,2,0,0
"""addCenvVars""",0.01,2,0,0
"""checkConst""",0.01,2,0,0
"""cmpComplexAssign""",0.01,2,0,0
"""cmpIndices""",0.01,2,0,0
"""cmpPrim1""",0.01,2,0,0
"""cmpSym""",0.01,2,0,0
"""codeBufCode""",0.01,2,0,0
"""isa""",0.01,2,0,0
"""make.callContext""",0.01,2,0,0
"""union""",0.01,2,0,0
