"","total.time","total.pct","self.time","self.pct"
"""profvis""",1.05,100,0,0
"""__profvis_execute__""",0.67,63.81,0,0
"""compute_loglik""",0.67,63.81,0,0
""".outcome_likelihood""",0.63,60,0,0
"""eval_row_likelihood""",0.63,60,0,0
"""FUN""",0.59,56.19,0,0
"""vapply""",0.56,53.33,0,0
""".eval_expr_likelihood""",0.55,52.38,0.09,8.57
""".eval_expr_survival""",0.55,52.38,0.01,0.95
""".compute_survival_product""",0.54,51.43,0,0
"""<Anonymous>""",0.54,51.43,0,0
"""f""",0.54,51.43,0,0
"""stats::integrate""",0.54,51.43,0,0
"""cmpfun""",0.34,32.38,0,0
"""compiler:::tryCmpfun""",0.34,32.38,0,0
"""genCode""",0.3,28.57,0,0
"""cmp""",0.29,27.62,0,0
"""cmpCall""",0.29,27.62,0,0
"""h""",0.29,27.62,0,0
"""tryInline""",0.29,27.62,0,0
""".pool_survival""",0.24,22.86,0.08,7.62
"""cmpSymbolAssign""",0.19,18.1,0,0
""".pool_density""",0.18,17.14,0.04,3.81
"""cmpCallSymFun""",0.14,13.33,0,0
"""cmpCallArgs""",0.13,12.38,0,0
""".pool_k1_density""",0.11,10.48,0.03,2.86
""".acc_survival""",0.1,9.52,0.05,4.76
"""<GC>""",0.08,7.62,0.08,7.62
""".acc_density""",0.08,7.62,0.04,3.81
"""cmpSubsetDispatch""",0.08,7.62,0,0
"""cb$putcode""",0.07,6.67,0.04,3.81
"""cmpForBody""",0.07,6.67,0,0
"""%in%""",0.05,4.76,0.05,4.76
"""pool_coeffs""",0.05,4.76,0.02,1.9
"""codeBufCode""",0.05,4.76,0,0
"""dots.or.missing""",0.04,3.81,0.04,3.81
"""cb$patchlabels""",0.04,3.81,0.03,2.86
"""constantFoldCall""",0.04,3.81,0.02,1.9
"""exgauss_cdf""",0.04,3.81,0.02,1.9
"""findCenvVar""",0.04,3.81,0.02,1.9
"""cmpSym""",0.04,3.81,0,0
"""constantFold""",0.04,3.81,0,0
"""reg[[""p""]]""",0.04,3.81,0,0
"""eval""",0.03,2.86,0.03,2.86
"""putconst""",0.03,2.86,0.03,2.86
"""stopifnot""",0.03,2.86,0.03,2.86
"""dist_registry""",0.03,2.86,0.02,1.9
"""findLocalsList""",0.03,2.86,0,0
"""findLocalsList1""",0.03,2.86,0,0
"""format.default""",0.03,2.86,0,0
"""funEnv""",0.03,2.86,0,0
"""lapply""",0.03,2.86,0,0
"""make.functionContext""",0.03,2.86,0,0
"""match.arg""",0.03,2.86,0,0
"""as.list""",0.02,1.9,0.02,1.9
"""checkSkipLoopCntxtList""",0.02,1.9,0.02,1.9
"""reg[[""d""]]""",0.02,1.9,0.02,1.9
"""unique""",0.02,1.9,0.02,1.9
"""exists""",0.02,1.9,0.01,0.95
"""findLocals1""",0.02,1.9,0.01,0.95
"""getFoldFun""",0.02,1.9,0.01,0.95
""".expr_sources""",0.02,1.9,0,0
"""base::setdiff""",0.02,1.9,0,0
"""checkSkipLoopCntxt""",0.02,1.9,0,0
"""cmpComplexAssign""",0.02,1.9,0,0
"""cmpIndices""",0.02,1.9,0,0
"""cmpPrim1""",0.02,1.9,0,0
"""cmpSetterCall""",0.02,1.9,0,0
"""cmpSubassignDispatch""",0.02,1.9,0,0
"""getInlineInfo""",0.02,1.9,0,0
"""setdiff.default""",0.02,1.9,0,0
"""trySetterInline""",0.02,1.9,0,0
"""...elt""",0.01,0.95,0.01,0.95
"""[[.data.frame""",0.01,0.95,0.01,0.95
"""*""",0.01,0.95,0.01,0.95
"""%||%""",0.01,0.95,0.01,0.95
"""$""",0.01,0.95,0.01,0.95
"""addVar""",0.01,0.95,0.01,0.95
"""cb$commitlocs""",0.01,0.95,0.01,0.95
"""cb$putconst""",0.01,0.95,0.01,0.95
"""cmpConst""",0.01,0.95,0.01,0.95
"""getExprSrcref""",0.01,0.95,0.01,0.95
"""is.call""",0.01,0.95,0.01,0.95
"""match.fun""",0.01,0.95,0.01,0.95
"""min""",0.01,0.95,0.01,0.95
"""offset""",0.01,0.95,0.01,0.95
"""prefix_sum""",0.01,0.95,0.01,0.95
"""unique.default""",0.01,0.95,0.01,0.95
"""unlist""",0.01,0.95,0.01,0.95
""".expr_requires_source""",0.01,0.95,0,0
"""cb$setcurexpr""",0.01,0.95,0,0
"""cmpBuiltinArgs""",0.01,0.95,0,0
"""cmpCallExprFun""",0.01,0.95,0,0
"""cmpIs""",0.01,0.95,0,0
"""cmpPrim2""",0.01,0.95,0,0
"""findLocVar""",0.01,0.95,0,0
"""findVar""",0.01,0.95,0,0
"""mayCallBrowser""",0.01,0.95,0,0
"""mayCallBrowserList""",0.01,0.95,0,0
